Channel,Time,Program
Rai Sport +HD,00:50,Atletica: Diamond League St 2025  - 3a tappa: Doha
Rai Sport +HD,02:40,Serie C
Rai Sport +HD,04:40,Pallanuoto
SuperTennis,19:15,Supertennis TG
SuperTennis,19:30,WTA 500 Strasburgo (differita) Danielle COLLINS (USA) vs Sofia KENIN (USA)
SuperTennis,21:00,WTA Internazionali BNL d'italia (replica) Errani / Paolini vs Kudermetova / Mertens
SuperTennis,22:30,Tennis Talk
SuperTennis,23:30,WTA 500 Strasburgo (replica)
SuperTennis,00:45,Colpo da Campione Il rovescio di Andreeva
SuperTennis,01:00,WTA 500 Strasburgo (replica)
SuperTennis,03:00,WTA 250 Rabat (replica)
Euro Sport,18:00,Equitazione - Global Champions Tour - Stagione 2025 - Madrid
Euro Sport,20:00,World Series Trail Running - Stagione 2025 - Il Golfo dell'Isola
Euro Sport,22:00,Equitazione - Royal Windsor Horse Show - Stagione 2025
Euro Sport,23:00,UFC - Stagione 2025 - Gilbert Burns - Michael Morales
Euro Sport,01:00,Coppa del Mondo - Stagione 2025 - Keqiao. Finale Boulder F
Euro Sport,01:30,Ciclismo - 108esimo Giro d'Italia - Stagione 2025 - 8a tappa - Giulianova - Castelraimondo (197 km)
Euro Sport,02:15,Ciclismo - 108esimo Giro d'Italia - Stagione 2025 - 9a tappa - Gubbio - Siena (181 km)
SportItalia,18:20,Calcio Today (diretta)
SportItalia,20:30,Premier Club
SportItalia,21:00,Calcio Tonight (diretta)
SportItalia,23:00,Sportitaliamercato (diretta)
SportItalia,00:00,Campionato Argentino Argentinos Jr.-San Lorenzo (diretta)
SportItalia,02:00,Si Live 24
SportItalia,02:30,Campionato Argentino Boca Jr.-Independiente (diretta)
SportItalia,04:30,Si Live 24
Rai Gulp,18:05,Idefix e gli Irriducibili St 2  Ep 28  - Le dimissioni
Rai Gulp,18:20,Klincus St 1  Ep 16  - A presto
Rai Gulp,18:45,La banda della natura St 1  Ep 22  - Attenti alle vipere!
Rai Gulp,18:55,La banda della natura St 1  Ep 23  - In alto i cuori!
Rai Gulp,19:10,Anatane e i ragazzi di Okura St 1  Ep 18  - Faccia a faccia
Rai Gulp,19:35,Vita da giungla alla riscossa!
Rai Gulp,19:45,Vita da giungla alla riscossa!
Rai Gulp,20:00,Kung Fu Panda - Le zampe del destino
Rai YoYo,18:00,Hello Yoyo St 3  Ep 16  - Believe in your dreams!
Rai YoYo,18:35,Spidey e i suoi fantastici amici
Rai YoYo,18:55,Peppa Pig
Rai YoYo,19:00,Peppa Pig St 9  Ep 11  - Il diario di Peppa
Rai YoYo,19:05,Peppa Pig St 1  Ep 12  - Giocare a golf
Rai YoYo,19:10,Peppa Pig St 9  Ep 13  - Il safari degli insetti
Rai YoYo,19:20,La famiglia Volpitassi St 2  Ep 47  - Il dono dell'alba
Rai YoYo,19:30,La famiglia Volpitassi St 2  Ep 48  - Vacanze separate
Boing,18:20,Teen Titans Go!
Boing,18:50,Teen Titans Go!
Boing,19:30,Teen Titans Go!
Boing,19:50,Clarence
Boing,21:35,Doraemon
Boing,22:00,Doraemon
Boing,22:30,Captain Tsubasa
Boing,22:55,Dragon Ball Super
Cartoonito,18:05,Blaze e  le megamacchine
Cartoonito,18:35,Blaze e  le megamacchine
Cartoonito,19:00,Batwheels
Cartoonito,19:30,Latte e la Pietra Magica
Cartoonito,21:20,Simone - new eps
Cartoonito,21:40,Simone - new eps
Cartoonito,22:10,Trenino Thomas
Cartoonito,22:40,Dino Ranch
Frisbee,18:20,Curioso come George - Stagione 10 Episodio 10
Frisbee,18:50,Curioso come George: La scimmietta reale - Film/Animazione
Frisbee,20:20,Curioso come George - Stagione 10 Episodio 11
Frisbee,20:35,Curioso come George - Stagione 10 Episodio 12
Frisbee,20:55,Curioso come George - Stagione 10 Episodio 13
Frisbee,21:25,Curioso come George - Stagione 10 Episodio 14
Frisbee,21:35,Curioso come George - Stagione 10 Episodio 15
Frisbee,22:00,Super Monsters - Stagione 3 Episodio 5
K2,18:00,Il barbiere pasticciere - Stagione 4 Episodio 2
K2,18:15,Alvinnn!!! And the Chipmunks - Stagione 5 Episodio 43
K2,18:25,Alvinnn!!! And the Chipmunks - Stagione 5 Episodio 44
K2,18:40,Alvinnn!!! And the Chipmunks - Stagione 5 Episodio 45
K2,18:55,Alvinnn!!! And the Chipmunks - Stagione 5 Episodio 46
K2,19:05,Alvinnn!!! And the Chipmunks - Stagione 5 Episodio 47
K2,19:20,Il barbiere pasticciere - Stagione 2 Episodio 7
K2,19:45,Il barbiere pasticciere - Stagione 2 Episodio 8
DeaKids,18:00,Isadora Moon - Stagione 1 Episodio 21 - La migrazione dei draghi
DeaKids,18:10,Isadora Moon - Stagione 1 Episodio 22 - Magie da fata
DeaKids,18:25,Il Barbiere Pasticciere - Stagione 1 Episodio 31 - La dieta della Regina
DeaKids,18:35,Il Barbiere Pasticciere - Stagione 1 Episodio 32 - Il compleanno di Pan Barbiere
DeaKids,18:45,Il Barbiere Pasticciere - Stagione 1 Episodio 33 - Scambio d'identita'
DeaKids,18:50,Il Barbiere Pasticciere - Stagione 1 Episodio 34 - Il lato oscuro di Wilk
DeaKids,19:00,Il Barbiere Pasticciere - Stagione 1 Episodio 35 - Pesce d'Aprile
DeaKids,19:10,Il Barbiere Pasticciere - Stagione 1 Episodio 36 - Ricordi di gioventu'
Super,18:15,Lo Show di Patrick Stella
Super,18:40,Lo Show di Patrick Stella
Super,19:05,Lo Show di Patrick Stella
Super,19:30,A Casa dei Loud
Super,20:00,A Casa dei Loud
Super,20:25,A casa dei Loud
Super,20:50,Henry Danger
Super,21:15,Henry Danger
Rai 5,20:03,RaiNews
Rai 5,20:05,Art Night - Puntata 3
Rai 5,20:09,Rai5 Classic Ep 52
Rai 5,20:22,Overland
Rai 5,21:14,Opera senza autore
Rai 5,00:18,Movie Mag
Rai 5,00:45,Rock Legends: The Clash
Rai 5,01:11,Soundtrack for a Revolution
Rai Storia,18:40,RaiNews Didascalia
Rai Storia,18:45,Come Eravamo Giovani
Rai Storia,19:00,La Guerra al tavolo della pace - La conferenza di Terranova
Rai Storia,20:10,Il giorno e la storia - 19 maggio 2025
Rai Storia,20:30,Passato e Presente
Rai Storia,21:10,Italia: viaggio nella bellezza
Rai Storia,22:05,Storia delle nostre cittÃ  St 2023  - Oristano
Rai Storia,22:55,Inferno nei mari - Missione Royal Navy
Rai Scuola,18:00,Un giorno per
Rai Scuola,18:30,"Sonno segreto, la foca monaca del Mediterraneo"
Rai Scuola,19:15,Paradisi da salvare
Rai Scuola,20:00,Doc Divulgativi
Rai Scuola,21:00,Racconti di Scienza
Rai Scuola,22:00,Intelligenze
Rai Scuola,22:30,Progetto Scienza 2023 Racconti di Scienza
Rai Scuola,22:45,TGR Leonardo
Motor Trend Italia,18:45,Reperti d'assalto - Stagione 5 Episodio 1 - Un carro armato in giardino
Motor Trend Italia,20:30,Reperti d'assalto - Stagione 5 Episodio 2 - Completamente scomposto
Motor Trend Italia,22:15,Auto: storia di una rivoluzione - 1^TV - Stagione 3 Episodio 8
Motor Trend Italia,23:15,Auto: storia di una rivoluzione - Stagione 3 Episodio 7
Motor Trend Italia,00:15,SOS: rottami da salvare - Stagione 1 Episodio 7 - Ford Model A del 1928
Motor Trend Italia,01:10,SOS: rottami da salvare - Stagione 1 Episodio 8 - Una Rebel da salvare
Motor Trend Italia,02:05,Auto leggendarie: Top 10 - Stagione 2 Episodio 4 - Maserati
Motor Trend Italia,03:00,Auto leggendarie: Top 10 - Stagione 2 Episodio 5 - Jeep
DMAX,18:30,Vado a vivere nel bosco - Stagione 5 Episodio 2 - Pericoli costanti
DMAX,20:40,LBA Playoff (live)
DMAX,23:10,WWE Raw - 1^TV
DMAX,01:15,Real Crash TV: World Edition - Stagione 2 Episodio 8
DMAX,02:10,Quei cattivi vicini - Stagione 2 Episodio 8
DMAX,03:05,Colpo di fulmini - Stagione 7 Episodio 7
DMAX,03:55,Colpo di fulmini - Stagione 7 Episodio 8
DMAX,04:45,Colpo di fulmini - Stagione 8 Episodio 1
Focus TV,18:01,LE MEGASTRUTTURE DELLE ANTICHE CIVILTA' - IL SANTO SEPOLCRO - LO SCUDO SACRO
Focus TV,19:19,LE MEGASTRUTTURE DELLE ANTICHE CIVILTA' - LA GRANDE SFINGE - IL VOLTO DEL RE LEONE
Focus TV,20:38,FUORI LE PROVE! - INDAGINI AI CONFINI DELLA REALTA'
Focus TV,21:27,STRANGE EVIDENCE - LA MALEDIZIONE DEL TESORO MAYA
Focus TV,22:15,STRANGE EVIDENCE - IL BIGFOOT
Focus TV,23:17,STORIE SEGRETE - ERUZIONI ED ENIGMI
Focus TV,00:21,I DISASTRI CHE HANNO CAMBIATO IL MONDO - IL VULCANO DEI SECOLI BUI
Focus TV,01:13,"CLIMA PAZZO, PAZZO CLIMA"
RealTime,19:20,Casa a prima vista - Stagione 6 Episodio 9
RealTime,20:30,Casa a prima vista - Stagione 6 Episodio 11 - Prima TV
RealTime,21:35,Hercai Amore e vendetta I riassunti - Stagione 3 Episodio 2 - Prima TV
RealTime,21:45,Hercai Amore e vendetta - Stagione 3 Episodio 3 - Prima TV
RealTime,00:00,La testa di mio figlio continua a crescere
RealTime,01:15,Il bambino senza volto
RealTime,02:10,Gemelli siamesi
RealTime,03:20,Body Bizarre - Stagione 5 Episodio 6 - Le bolle
Discovery Channel,18:05,Deadliest Catch: Norvegia - Stagione 1 Episodio 2 - Nuova specie
Discovery Channel,19:00,Metal Detective - Stagione 3 Episodio 5 - Caccia al panzer. 2a parte
Discovery Channel,19:50,Metal Detective - Stagione 4 Episodio 1 - La notte dei morti viventi
Discovery Channel,21:00,Dual Survival Brasile - Stagione 1 Episodio 2 - Vette colombiane
Discovery Channel,21:50,Dual Survival Brasile - Stagione 1 Episodio 1 - Il deserto del Tatacoa
Discovery Channel,22:45,Avventure impossibili con Josh Gates - Stagione 8 Episodio 5 - Le statue cambogiane
Discovery Channel,23:35,Ce l'avevo quasi fatta - Stagione 1 Episodio 1 - Vendetta
Discovery Channel,00:30,Ce l'avevo quasi fatta - Stagione 1 Episodio 2 - Sposati di nuovo
Sky Uno,18:45,Alessandro Borghese 4 Ristoranti - Stagione 10 Episodio 11 - Roma: puntata speciale VIP
Sky Uno,20:15,Cucine da incubo - Stagione 11 Episodio 7
Sky Uno,21:30,Gialappa - Show - Stagione 5 Episodio 7 - Prima TV
Sky Uno,23:50,Gialappa - Show - Stagione 5 Episodio 7
Sky Uno,02:05,Bruno Barbieri 4 Hotel - Stagione 3 Episodio 1 - Versilia
Sky Uno,03:15,Home Restaurant - Stagione 2 Episodio 15
Sky Uno,04:15,MasterChef USA - Stagione 12 Episodio 1 - Audizioni. 1a parte
Sky Uno,05:00,MasterChef USA - Stagione 12 Episodio 2 - Audizioni. 2a parte
Sky Uno,18:10,Quattro matrimoni Ep. 9
Sky Uno,19:10,Italia's Got Talent Audizioni
Sky Uno,21:15,Cucine da incubo La Tana degli Elfi - Puglia
Sky Uno,22:25,Pechino Express - La rotta dei sultani Ep. 6
Sky Uno,00:40,Bruno Barbieri - 4 Hotel Firenze
Sky Uno,01:50,Bruno Barbieri - 4 Hotel Langhe
Sky Uno,03:00,Quattro matrimoni Ep. 8
Sky Cinema 1,19:10,Proposta indecente
Sky Cinema 1,21:15,Emilia Perez
Sky Cinema 1,23:35,Titanic
